hid,specialty,hospital,hgroup,dm_wait,patients,wait,rptid,status_date
1,Small Volume Specialities,Bantry General Hospital,South/South West Hospital Group,A,1,All Waiting,rpt01,29/04/2015
2,Cardiology,Beaumont Hospital,RCSI Hospitals Group,A,424,All Waiting,rpt01,29/04/2015
2,Clinical Immunology,Beaumont Hospital,RCSI Hospitals Group,A,55,All Waiting,rpt01,29/04/2015
2,Dermatology,Beaumont Hospital,RCSI Hospitals Group,A,127,All Waiting,rpt01,29/04/2015
2,Endocrinology,Beaumont Hospital,RCSI Hospitals Group,A,5,All Waiting,rpt01,29/04/2015
2,Gastro-Enterology,Beaumont Hospital,RCSI Hospitals Group,A,52,All Waiting,rpt01,29/04/2015
2,General Surgery,Beaumont Hospital,RCSI Hospitals Group,A,1020,All Waiting,rpt01,29/04/2015
2,Gynaecology,Beaumont Hospital,RCSI Hospitals Group,A,197,All Waiting,rpt01,29/04/2015
2,Nephrology,Beaumont Hospital,RCSI Hospitals Group,A,25,All Waiting,rpt01,29/04/2015
2,Neurology,Beaumont Hospital,RCSI Hospitals Group,A,54,All Waiting,rpt01,29/04/2015
2,Neurosurgery,Beaumont Hospital,RCSI Hospitals Group,A,623,All Waiting,rpt01,29/04/2015
2,Orthopaedics,Beaumont Hospital,RCSI Hospitals Group,A,359,All Waiting,rpt01,29/04/2015
2,Otolaryngology (ENT),Beaumont Hospital,RCSI Hospitals Group,A,706,All Waiting,rpt01,29/04/2015
2,Pain Relief,Beaumont Hospital,RCSI Hospitals Group,A,409,All Waiting,rpt01,29/04/2015
2,Plastic Surgery,Beaumont Hospital,RCSI Hospitals Group,A,721,All Waiting,rpt01,29/04/2015
2,Respiratory Medicine,Beaumont Hospital,RCSI Hospitals Group,A,6,All Waiting,rpt01,29/04/2015
2,Urology,Beaumont Hospital,RCSI Hospitals Group,A,840,All Waiting,rpt01,29/04/2015
2,Vascular Surgery,Beaumont Hospital,RCSI Hospitals Group,A,399,All Waiting,rpt01,29/04/2015
2,Small Volume Specialities,Beaumont Hospital,RCSI Hospitals Group,A,3,All Waiting,rpt01,29/04/2015
3,Orthopaedics,Cappagh National Orthopaedic Hospital,Ireland East Hospital Group,A,2679,All Waiting,rpt01,29/04/2015
3,Small Volume Specialities,Cappagh National Orthopaedic Hospital,Ireland East Hospital Group,A,1,All Waiting,rpt01,29/04/2015
4,General Medicine,Cavan General Hospital,RCSI Hospitals Group,A,10,All Waiting,rpt01,29/04/2015
4,General Surgery,Cavan General Hospital,RCSI Hospitals Group,A,284,All Waiting,rpt01,29/04/2015
4,Gynaecology,Cavan General Hospital,RCSI Hospitals Group,A,129,All Waiting,rpt01,29/04/2015
4,Otolaryngology (ENT),Cavan General Hospital,RCSI Hospitals Group,A,238,All Waiting,rpt01,29/04/2015
4,Small Volume Specialities,Cavan General Hospital,RCSI Hospitals Group,A,5,All Waiting,rpt01,29/04/2015
5,Dental Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,23,All Waiting,rpt01,29/04/2015
5,Ophthalmology,Childrens University Hospital Temple Street,Children's Hospital Group,A,11,All Waiting,rpt01,29/04/2015
5,Orthopaedics,Childrens University Hospital Temple Street,Children's Hospital Group,A,251,All Waiting,rpt01,29/04/2015
5,Otolaryngology (ENT),Childrens University Hospital Temple Street,Children's Hospital Group,A,141,All Waiting,rpt01,29/04/2015
5,Paediatric Respiratory Medicine,Childrens University Hospital Temple Street,Children's Hospital Group,A,63,All Waiting,rpt01,29/04/2015
5,Paediatric Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,16,All Waiting,rpt01,29/04/2015
5,Paediatrics,Childrens University Hospital Temple Street,Children's Hospital Group,A,5,All Waiting,rpt01,29/04/2015
5,Plastic Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,58,All Waiting,rpt01,29/04/2015
5,Urology,Childrens University Hospital Temple Street,Children's Hospital Group,A,13,All Waiting,rpt01,29/04/2015
5,Small Volume Specialities,Childrens University Hospital Temple Street,Children's Hospital Group,A,17,All Waiting,rpt01,29/04/2015
6,Cardiology,Connolly Hospital,RCSI Hospitals Group,A,140,All Waiting,rpt01,29/04/2015
6,Dermatology,Connolly Hospital,RCSI Hospitals Group,A,23,All Waiting,rpt01,29/04/2015
6,General Surgery,Connolly Hospital,RCSI Hospitals Group,A,320,All Waiting,rpt01,29/04/2015
6,Geriatric Medicine,Connolly Hospital,RCSI Hospitals Group,A,7,All Waiting,rpt01,29/04/2015
6,Orthopaedics,Connolly Hospital,RCSI Hospitals Group,A,22,All Waiting,rpt01,29/04/2015
6,Plastic Surgery,Connolly Hospital,RCSI Hospitals Group,A,32,All Waiting,rpt01,29/04/2015
6,Respiratory Medicine,Connolly Hospital,RCSI Hospitals Group,A,219,All Waiting,rpt01,29/04/2015
6,Urology,Connolly Hospital,RCSI Hospitals Group,A,187,All Waiting,rpt01,29/04/2015
6,Small Volume Specialities,Connolly Hospital,RCSI Hospitals Group,A,8,All Waiting,rpt01,29/04/2015
7,Breast Surgery,Cork University Hospital,South/South West Hospital Group,A,28,All Waiting,rpt01,29/04/2015
7,Cardiology,Cork University Hospital,South/South West Hospital Group,A,51,All Waiting,rpt01,29/04/2015
