hid,specialty,hospital,hgroup,dm_wait,patients,wait,rptid,status_date
1,Dermatology,Bantry General Hospital,South/South West Hospital Group,A,129,All Waiting,rpt02,29/04/2015
1,General Medicine,Bantry General Hospital,South/South West Hospital Group,A,850,All Waiting,rpt02,29/04/2015
1,General Surgery,Bantry General Hospital,South/South West Hospital Group,A,807,All Waiting,rpt02,29/04/2015
1,Orthopaedics,Bantry General Hospital,South/South West Hospital Group,A,254,All Waiting,rpt02,29/04/2015
1,Paediatrics,Bantry General Hospital,South/South West Hospital Group,A,19,All Waiting,rpt02,29/04/2015
2,Anaesthetics,Beaumont Hospital,RCSI Hospitals Group,A,71,All Waiting,rpt02,29/04/2015
2,Breast Surgery,Beaumont Hospital,RCSI Hospitals Group,A,74,All Waiting,rpt02,29/04/2015
2,Cardiology,Beaumont Hospital,RCSI Hospitals Group,A,1342,All Waiting,rpt02,29/04/2015
2,Clinical Immunology,Beaumont Hospital,RCSI Hospitals Group,A,505,All Waiting,rpt02,29/04/2015
2,Dermatology,Beaumont Hospital,RCSI Hospitals Group,A,2432,All Waiting,rpt02,29/04/2015
2,Endocrinology,Beaumont Hospital,RCSI Hospitals Group,A,1233,All Waiting,rpt02,29/04/2015
2,Gastro-Enterology,Beaumont Hospital,RCSI Hospitals Group,A,566,All Waiting,rpt02,29/04/2015
2,General Surgery,Beaumont Hospital,RCSI Hospitals Group,A,817,All Waiting,rpt02,29/04/2015
2,Geriatric Medicine,Beaumont Hospital,RCSI Hospitals Group,A,217,All Waiting,rpt02,29/04/2015
2,Gynaecology,Beaumont Hospital,RCSI Hospitals Group,A,855,All Waiting,rpt02,29/04/2015
2,Haematology,Beaumont Hospital,RCSI Hospitals Group,A,361,All Waiting,rpt02,29/04/2015
2,Infectious Diseases,Beaumont Hospital,RCSI Hospitals Group,A,38,All Waiting,rpt02,29/04/2015
2,Maxillo-Facial,Beaumont Hospital,RCSI Hospitals Group,A,27,All Waiting,rpt02,29/04/2015
2,Nephrology,Beaumont Hospital,RCSI Hospitals Group,A,49,All Waiting,rpt02,29/04/2015
2,Neurology,Beaumont Hospital,RCSI Hospitals Group,A,2397,All Waiting,rpt02,29/04/2015
2,Neurosurgery,Beaumont Hospital,RCSI Hospitals Group,A,2385,All Waiting,rpt02,29/04/2015
