hid,region,hospital1,hospital5,hgid,hgroup,code,hospital,hospital2,osm_wid,osm,lon,lat
1,South West,Bantry,BantryGene,5,South/South West Hospital Group,202,Bantry General Hospital,Bantry General Hospital,177777682,177777682,-9.45014,51.6762219
2,Dublin North East,Beaumount,BeaumontHo,4,RCSI Hospitals Group,37,Beaumont Hospital,Beaumont Hospital,22634348,22634348,-6.222199,53.3923659
3,Dublin East,Cappagh,CappaghNat,2,Ireland East Hospital Group,11,Cappagh National Orthopaedic Hospital,Cappagh National Orthopaedic Hospital,42352117,42352117,-6.3249131,53.3923766
4,Dublin North East,Cavan,CavanGener,4,RCSI Hospitals Group,702,Cavan General Hospital,Cavan Monaghan Hospital Group,152613437,152613437,-7.37236,54.0010159
5,Paediatrics,Temple Street,ChildrensU,7,Children's Hospital Group,14,Childrens University Hospital Temple Street,"Childrens University Hospital, Temple Street",137349173,137349173,-6.26157,53.3570939
6,Dublin North East,Conolly,ConnollyHo,4,RCSI Hospitals Group,22,Connolly Hospital,"Connolly Hospital, Blanchardstown",,,-6.36742,53.3891651
7,South West,Cork University,CorkUniver,5,South/South West Hospital Group,235,Cork University Hospital,Cork University Hospital,118618667,118618667,-8.51207,51.8833781
8,North West,Galway University,GalwayUniv,1,Saolta University Health Care Group,404,Galway University Hospital,Galway University Hospital,,,-9.06685,53.2770613
9,South West,Kerry General,KerryGener,5,South/South West Hospital Group,236,Kerry General Hospital,Kerry General Hospital,111471269,111471269,-9.6876,52.2658252
10,North West,Letterkenny,Letterkenn,1,Saolta University Health Care Group,601,Letterkenny General Hospital,Letterkenny General Hospital,,,-7.73483,54.9601244
11,South West,Kilcreene,LourdesOrt,5,South/South West Hospital Group,104,Lourdes Orthopaedic Hospital Kilcreene,"Lourdes Orthopaedic Hospital, Kilcreene",,,-7.27489,52.6524252
12,Dublin North East,Louth County,LouthCount,4,RCSI Hospitals Group,703,Louth County Hospital,Louth County Hospital,,,-6.40043,53.9879808
13,South West,Mallow General,MallowGene,5,South/South West Hospital Group,207,Mallow General Hospital,Mallow General Hospital,,,-8.66377,52.15165
14,Dublin East,Mater,MaterMiser,2,Ireland East Hospital Group,5,Mater Misericordiae University Hospital,Mater Misericordiae University Hospital,,,-6.26706,53.3595011
15,North West,Mayo General,MayoGenera,1,Saolta University Health Care Group,405,Mayo General Hospital,Mayo General Hospital,,,-9.30332,53.8519319
16,South West,Mercy,MercyUnive,5,South/South West Hospital Group,203,Mercy University Hospital,Mercy University Hospital,,,-8.48233,51.8989341
17,Dublin East,MRH Mullingar,MRHMillingar,2,Ireland East Hospital Group,503,Midland Regional Hospital Mullingar,Midland Regional Hospital Mullingar,176503889,176503889,-7.34904,53.5344207
18,Midlands,MRH Portlaoise,MRHPortlaoise,3,Dublin Midlands Hospital Group,506,Midland Regional Hospital Portlaoise,Midland Regional Hospital Portlaoise,223248196,223248196,-7.27536,53.0375537
19,Midlands,MRH Tullamore,MRHTullamore,3,Dublin Midlands Hospital Group,501,Midland Regional Hospital Tullamore,Midland Regional Hospital Tullamore,56968562,56968562,-7.48884,53.2829733
