hid,specialty,hospital,hgroup,dm_wait,patients,wait,rptid,status_date
1,General Surgery ,Bantry General Hospital,South/South West Hospital Group,A,5,All Waiting,rpt01,30/06/2015
2,Cardiology,Beaumont Hospital,RCSI Hospitals Group,A,456,All Waiting,rpt01,30/06/2015
2,Clinical Immunology,Beaumont Hospital,RCSI Hospitals Group,A,75,All Waiting,rpt01,30/06/2015
2,Dermatology,Beaumont Hospital,RCSI Hospitals Group,A,104,All Waiting,rpt01,30/06/2015
2,Endocrinology,Beaumont Hospital,RCSI Hospitals Group,A,6,All Waiting,rpt01,30/06/2015
2,Gastro-Enterology,Beaumont Hospital,RCSI Hospitals Group,A,45,All Waiting,rpt01,30/06/2015
2,General Surgery,Beaumont Hospital,RCSI Hospitals Group,A,998,All Waiting,rpt01,30/06/2015
2,Gynaecology,Beaumont Hospital,RCSI Hospitals Group,A,171,All Waiting,rpt01,30/06/2015
2,Maxillo-Facial,Beaumont Hospital,RCSI Hospitals Group,A,24,All Waiting,rpt01,30/06/2015
2,Nephrology,Beaumont Hospital,RCSI Hospitals Group,A,20,All Waiting,rpt01,30/06/2015
2,Neurology,Beaumont Hospital,RCSI Hospitals Group,A,45,All Waiting,rpt01,30/06/2015
2,Neurosurgery,Beaumont Hospital,RCSI Hospitals Group,A,515,All Waiting,rpt01,30/06/2015
2,Orthopaedics,Beaumont Hospital,RCSI Hospitals Group,A,281,All Waiting,rpt01,30/06/2015
2,Otolaryngology (ENT),Beaumont Hospital,RCSI Hospitals Group,A,655,All Waiting,rpt01,30/06/2015
2,Pain Relief,Beaumont Hospital,RCSI Hospitals Group,A,433,All Waiting,rpt01,30/06/2015
2,Plastic Surgery,Beaumont Hospital,RCSI Hospitals Group,A,743,All Waiting,rpt01,30/06/2015
2,Respiratory Medicine,Beaumont Hospital,RCSI Hospitals Group,A,9,All Waiting,rpt01,30/06/2015
2,Urology,Beaumont Hospital,RCSI Hospitals Group,A,841,All Waiting,rpt01,30/06/2015
2,Vascular Surgery,Beaumont Hospital,RCSI Hospitals Group,A,412,All Waiting,rpt01,30/06/2015
2,Small Volume Specialities,Beaumont Hospital,RCSI Hospitals Group,A,3,All Waiting,rpt01,30/06/2015
3,Orthopaedics,Cappagh National Orthopaedic Hospital,Ireland East Hospital Group,A,2664,All Waiting,rpt01,30/06/2015
4,Dermatology,Cavan General Hospital,RCSI Hospitals Group,A,5,All Waiting,rpt01,30/06/2015
4,General Medicine,Cavan General Hospital,RCSI Hospitals Group,A,13,All Waiting,rpt01,30/06/2015
4,General Surgery,Cavan General Hospital,RCSI Hospitals Group,A,224,All Waiting,rpt01,30/06/2015
4,Gynaecology,Cavan General Hospital,RCSI Hospitals Group,A,94,All Waiting,rpt01,30/06/2015
4,Otolaryngology (ENT),Cavan General Hospital,RCSI Hospitals Group,A,236,All Waiting,rpt01,30/06/2015
4,Small Volume Specialities,Cavan General Hospital,RCSI Hospitals Group,A,2,All Waiting,rpt01,30/06/2015
5,Dental Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,22,All Waiting,rpt01,30/06/2015
5,Endocrinology,Childrens University Hospital Temple Street,Children's Hospital Group,A,6,All Waiting,rpt01,30/06/2015
5,Neurology,Childrens University Hospital Temple Street,Children's Hospital Group,A,5,All Waiting,rpt01,30/06/2015
5,Ophthalmology,Childrens University Hospital Temple Street,Children's Hospital Group,A,19,All Waiting,rpt01,30/06/2015
5,Orthopaedics,Childrens University Hospital Temple Street,Children's Hospital Group,A,281,All Waiting,rpt01,30/06/2015
5,Otolaryngology (ENT),Childrens University Hospital Temple Street,Children's Hospital Group,A,139,All Waiting,rpt01,30/06/2015
