hid,specialty,hospital,hgroup,dm_wait,patients,wait,rptid,status_date
1,Dermatology,Bantry General Hospital,South/South West Hospital Group,A,139,All Waiting,rpt02,30/06/2015
1,General Medicine,Bantry General Hospital,South/South West Hospital Group,A,612,All Waiting,rpt02,30/06/2015
1,General Surgery,Bantry General Hospital,South/South West Hospital Group,A,431,All Waiting,rpt02,30/06/2015
1,Orthopaedics,Bantry General Hospital,South/South West Hospital Group,A,214,All Waiting,rpt02,30/06/2015
1,Paediatrics,Bantry General Hospital,South/South West Hospital Group,A,15,All Waiting,rpt02,30/06/2015
2,Anaesthetics,Beaumont Hospital,RCSI Hospitals Group,A,74,All Waiting,rpt02,30/06/2015
2,Breast Surgery,Beaumont Hospital,RCSI Hospitals Group,A,155,All Waiting,rpt02,30/06/2015
2,Cardiology,Beaumont Hospital,RCSI Hospitals Group,A,1338,All Waiting,rpt02,30/06/2015
2,Clinical Immunology,Beaumont Hospital,RCSI Hospitals Group,A,584,All Waiting,rpt02,30/06/2015
2,Dermatology,Beaumont Hospital,RCSI Hospitals Group,A,2114,All Waiting,rpt02,30/06/2015
2,Endocrinology,Beaumont Hospital,RCSI Hospitals Group,A,1176,All Waiting,rpt02,30/06/2015
2,Gastro-Enterology,Beaumont Hospital,RCSI Hospitals Group,A,503,All Waiting,rpt02,30/06/2015
2,General Surgery,Beaumont Hospital,RCSI Hospitals Group,A,937,All Waiting,rpt02,30/06/2015
2,Geriatric Medicine,Beaumont Hospital,RCSI Hospitals Group,A,218,All Waiting,rpt02,30/06/2015
2,Gynaecology,Beaumont Hospital,RCSI Hospitals Group,A,893,All Waiting,rpt02,30/06/2015
2,Haematology,Beaumont Hospital,RCSI Hospitals Group,A,385,All Waiting,rpt02,30/06/2015
2,Infectious Diseases,Beaumont Hospital,RCSI Hospitals Group,A,23,All Waiting,rpt02,30/06/2015
2,Maxillo-Facial,Beaumont Hospital,RCSI Hospitals Group,A,35,All Waiting,rpt02,30/06/2015
2,Nephrology,Beaumont Hospital,RCSI Hospitals Group,A,75,All Waiting,rpt02,30/06/2015
2,Neurology,Beaumont Hospital,RCSI Hospitals Group,A,2380,All Waiting,rpt02,30/06/2015
2,Neurosurgery,Beaumont Hospital,RCSI Hospitals Group,A,2420,All Waiting,rpt02,30/06/2015
2,Oncology,Beaumont Hospital,RCSI Hospitals Group,A,42,All Waiting,rpt02,30/06/2015
2,Ophthalmology,Beaumont Hospital,RCSI Hospitals Group,A,949,All Waiting,rpt02,30/06/2015
2,Orthopaedics,Beaumont Hospital,RCSI Hospitals Group,A,1650,All Waiting,rpt02,30/06/2015
2,Otolaryngology (ENT),Beaumont Hospital,RCSI Hospitals Group,A,2748,All Waiting,rpt02,30/06/2015
