hid,specialty,hospital,hgroup,dm_wait,patients,wait,rptid,status_date
1,Small Volume Specialities,Bantry General Hospital,South/South West Hospital Group,A,0,All Waiting,rpt01,28/05/2015
2,Cardiology,Beaumont Hospital,RCSI Hospitals Group,A,461,All Waiting,rpt01,28/05/2015
2,Clinical Immunology,Beaumont Hospital,RCSI Hospitals Group,A,52,All Waiting,rpt01,28/05/2015
2,Dermatology,Beaumont Hospital,RCSI Hospitals Group,A,115,All Waiting,rpt01,28/05/2015
2,Gastro-Enterology,Beaumont Hospital,RCSI Hospitals Group,A,43,All Waiting,rpt01,28/05/2015
2,General Surgery,Beaumont Hospital,RCSI Hospitals Group,A,1034,All Waiting,rpt01,28/05/2015
2,Gynaecology,Beaumont Hospital,RCSI Hospitals Group,A,194,All Waiting,rpt01,28/05/2015
2,Nephrology,Beaumont Hospital,RCSI Hospitals Group,A,18,All Waiting,rpt01,28/05/2015
2,Neurology,Beaumont Hospital,RCSI Hospitals Group,A,59,All Waiting,rpt01,28/05/2015
2,Neurosurgery,Beaumont Hospital,RCSI Hospitals Group,A,614,All Waiting,rpt01,28/05/2015
2,Orthopaedics,Beaumont Hospital,RCSI Hospitals Group,A,340,All Waiting,rpt01,28/05/2015
2,Otolaryngology (ENT),Beaumont Hospital,RCSI Hospitals Group,A,725,All Waiting,rpt01,28/05/2015
2,Pain Relief,Beaumont Hospital,RCSI Hospitals Group,A,433,All Waiting,rpt01,28/05/2015
2,Plastic Surgery,Beaumont Hospital,RCSI Hospitals Group,A,770,All Waiting,rpt01,28/05/2015
2,Respiratory Medicine,Beaumont Hospital,RCSI Hospitals Group,A,8,All Waiting,rpt01,28/05/2015
2,Urology,Beaumont Hospital,RCSI Hospitals Group,A,861,All Waiting,rpt01,28/05/2015
2,Vascular Surgery,Beaumont Hospital,RCSI Hospitals Group,A,428,All Waiting,rpt01,28/05/2015
2,Small Volume Specialities,Beaumont Hospital,RCSI Hospitals Group,A,7,All Waiting,rpt01,28/05/2015
3,Orthopaedics,Cappagh National Orthopaedic Hospital,Ireland East Hospital Group,A,2726,All Waiting,rpt01,28/05/2015
4,Dermatology,Cavan General Hospital,RCSI Hospitals Group,A,10,All Waiting,rpt01,28/05/2015
4,General Medicine,Cavan General Hospital,RCSI Hospitals Group,A,5,All Waiting,rpt01,28/05/2015
4,General Surgery,Cavan General Hospital,RCSI Hospitals Group,A,298,All Waiting,rpt01,28/05/2015
4,Gynaecology,Cavan General Hospital,RCSI Hospitals Group,A,123,All Waiting,rpt01,28/05/2015
4,Otolaryngology (ENT),Cavan General Hospital,RCSI Hospitals Group,A,231,All Waiting,rpt01,28/05/2015
4,Small Volume Specialities,Cavan General Hospital,RCSI Hospitals Group,A,2,All Waiting,rpt01,28/05/2015
5,Dental Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,27,All Waiting,rpt01,28/05/2015
5,Neurology,Childrens University Hospital Temple Street,Children's Hospital Group,A,8,All Waiting,rpt01,28/05/2015
5,Neurosurgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,5,All Waiting,rpt01,28/05/2015
5,Ophthalmology,Childrens University Hospital Temple Street,Children's Hospital Group,A,15,All Waiting,rpt01,28/05/2015
5,Orthopaedics,Childrens University Hospital Temple Street,Children's Hospital Group,A,280,All Waiting,rpt01,28/05/2015
5,Otolaryngology (ENT),Childrens University Hospital Temple Street,Children's Hospital Group,A,124,All Waiting,rpt01,28/05/2015
5,Paediatric Respiratory Medicine,Childrens University Hospital Temple Street,Children's Hospital Group,A,61,All Waiting,rpt01,28/05/2015
5,Paediatric Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,50,All Waiting,rpt01,28/05/2015
5,Paediatrics,Childrens University Hospital Temple Street,Children's Hospital Group,A,5,All Waiting,rpt01,28/05/2015
5,Plastic Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,55,All Waiting,rpt01,28/05/2015
5,Urology,Childrens University Hospital Temple Street,Children's Hospital Group,A,18,All Waiting,rpt01,28/05/2015
5,Small Volume Specialities,Childrens University Hospital Temple Street,Children's Hospital Group,A,9,All Waiting,rpt01,28/05/2015
6,Cardiology,Connolly Hospital,RCSI Hospitals Group,A,142,All Waiting,rpt01,28/05/2015
6,Dermatology,Connolly Hospital,RCSI Hospitals Group,A,22,All Waiting,rpt01,28/05/2015
6,General Surgery,Connolly Hospital,RCSI Hospitals Group,A,304,All Waiting,rpt01,28/05/2015
6,Geriatric Medicine,Connolly Hospital,RCSI Hospitals Group,A,13,All Waiting,rpt01,28/05/2015
6,Orthopaedics,Connolly Hospital,RCSI Hospitals Group,A,17,All Waiting,rpt01,28/05/2015
6,Plastic Surgery,Connolly Hospital,RCSI Hospitals Group,A,37,All Waiting,rpt01,28/05/2015
6,Respiratory Medicine,Connolly Hospital,RCSI Hospitals Group,A,198,All Waiting,rpt01,28/05/2015
6,Urology,Connolly Hospital,RCSI Hospitals Group,A,186,All Waiting,rpt01,28/05/2015
6,Small Volume Specialities,Connolly Hospital,RCSI Hospitals Group,A,4,All Waiting,rpt01,28/05/2015
7,Breast Surgery,Cork University Hospital,South/South West Hospital Group,A,28,All Waiting,rpt01,28/05/2015
7,Cardiology,Cork University Hospital,South/South West Hospital Group,A,57,All Waiting,rpt01,28/05/2015
7,Cardio-Thoracic Surgery,Cork University Hospital,South/South West Hospital Group,A,48,All Waiting,rpt01,28/05/2015
7,General Surgery,Cork University Hospital,South/South West Hospital Group,A,195,All Waiting,rpt01,28/05/2015
7,Gynaecology,Cork University Hospital,South/South West Hospital Group,A,514,All Waiting,rpt01,28/05/2015
7,Neurology,Cork University Hospital,South/South West Hospital Group,A,12,All Waiting,rpt01,28/05/2015
7,Neurosurgery,Cork University Hospital,South/South West Hospital Group,A,34,All Waiting,rpt01,28/05/2015
7,Plastic Surgery,Cork University Hospital,South/South West Hospital Group,A,127,All Waiting,rpt01,28/05/2015
7,Respiratory Medicine,Cork University Hospital,South/South West Hospital Group,A,15,All Waiting,rpt01,28/05/2015
7,Urology,Cork University Hospital,South/South West Hospital Group,A,182,All Waiting,rpt01,28/05/2015
7,Vascular Surgery,Cork University Hospital,South/South West Hospital Group,A,152,All Waiting,rpt01,28/05/2015
7,Small Volume Specialities,Cork University Hospital,South/South West Hospital Group,A,6,All Waiting,rpt01,28/05/2015
23,Anaesthetics,Croom Orthopaedic Hospital,University of Limerick Hospital Group,A,53,All Waiting,rpt01,28/05/2015
23,Orthopaedics,Croom Orthopaedic Hospital,University of Limerick Hospital Group,A,97,All Waiting,rpt01,28/05/2015
23,Rheumatology,Croom Orthopaedic Hospital,University of Limerick Hospital Group,A,9,All Waiting,rpt01,28/05/2015
21,General Surgery,Ennis Hospital,University of Limerick Hospital Group,A,67,All Waiting,rpt01,28/05/2015
21,Gynaecology,Ennis Hospital,University of Limerick Hospital Group,A,6,All Waiting,rpt01,28/05/2015
21,Plastic Surgery,Ennis Hospital,University of Limerick Hospital Group,A,104,All Waiting,rpt01,28/05/2015
21,Urology,Ennis Hospital,University of Limerick Hospital Group,A,352,All Waiting,rpt01,28/05/2015
21,Vascular Surgery,Ennis Hospital,University of Limerick Hospital Group,A,35,All Waiting,rpt01,28/05/2015
8,Cardiology,Galway University Hospital,Saolta University Health Care Group,A,1107,All Waiting,rpt01,28/05/2015
8,Cardio-Thoracic Surgery,Galway University Hospital,Saolta University Health Care Group,A,81,All Waiting,rpt01,28/05/2015
8,Dermatology,Galway University Hospital,Saolta University Health Care Group,A,9,All Waiting,rpt01,28/05/2015
8,Endocrinology,Galway University Hospital,Saolta University Health Care Group,A,27,All Waiting,rpt01,28/05/2015
8,General Medicine,Galway University Hospital,Saolta University Health Care Group,A,120,All Waiting,rpt01,28/05/2015
8,General Surgery,Galway University Hospital,Saolta University Health Care Group,A,915,All Waiting,rpt01,28/05/2015
8,Gynaecology,Galway University Hospital,Saolta University Health Care Group,A,230,All Waiting,rpt01,28/05/2015
8,Neurology,Galway University Hospital,Saolta University Health Care Group,A,80,All Waiting,rpt01,28/05/2015
8,Ophthalmology,Galway University Hospital,Saolta University Health Care Group,A,1510,All Waiting,rpt01,28/05/2015
8,Oral Surgery,Galway University Hospital,Saolta University Health Care Group,A,889,All Waiting,rpt01,28/05/2015
8,Orthopaedics,Galway University Hospital,Saolta University Health Care Group,A,698,All Waiting,rpt01,28/05/2015
