hid,specialty,hospital,hgroup,dm_wait,patients,wait,rptid,status_date
1,Dermatology,Bantry General Hospital,South/South West Hospital Group,A,144,All Waiting,rpt02,28/05/2015
1,General Medicine,Bantry General Hospital,South/South West Hospital Group,A,874,All Waiting,rpt02,28/05/2015
1,General Surgery,Bantry General Hospital,South/South West Hospital Group,A,801,All Waiting,rpt02,28/05/2015
1,Orthopaedics,Bantry General Hospital,South/South West Hospital Group,A,262,All Waiting,rpt02,28/05/2015
1,Paediatrics,Bantry General Hospital,South/South West Hospital Group,A,19,All Waiting,rpt02,28/05/2015
2,Anaesthetics,Beaumont Hospital,RCSI Hospitals Group,A,79,All Waiting,rpt02,28/05/2015
2,Breast Surgery,Beaumont Hospital,RCSI Hospitals Group,A,137,All Waiting,rpt02,28/05/2015
2,Cardiology,Beaumont Hospital,RCSI Hospitals Group,A,1321,All Waiting,rpt02,28/05/2015
2,Clinical Immunology,Beaumont Hospital,RCSI Hospitals Group,A,552,All Waiting,rpt02,28/05/2015
2,Dermatology,Beaumont Hospital,RCSI Hospitals Group,A,2219,All Waiting,rpt02,28/05/2015
2,Endocrinology,Beaumont Hospital,RCSI Hospitals Group,A,1171,All Waiting,rpt02,28/05/2015
2,Gastro-Enterology,Beaumont Hospital,RCSI Hospitals Group,A,501,All Waiting,rpt02,28/05/2015
2,General Surgery,Beaumont Hospital,RCSI Hospitals Group,A,883,All Waiting,rpt02,28/05/2015
2,Geriatric Medicine,Beaumont Hospital,RCSI Hospitals Group,A,208,All Waiting,rpt02,28/05/2015
2,Gynaecology,Beaumont Hospital,RCSI Hospitals Group,A,807,All Waiting,rpt02,28/05/2015
2,Haematology,Beaumont Hospital,RCSI Hospitals Group,A,351,All Waiting,rpt02,28/05/2015
2,Infectious Diseases,Beaumont Hospital,RCSI Hospitals Group,A,24,All Waiting,rpt02,28/05/2015
2,Maxillo-Facial,Beaumont Hospital,RCSI Hospitals Group,A,29,All Waiting,rpt02,28/05/2015
2,Nephrology,Beaumont Hospital,RCSI Hospitals Group,A,71,All Waiting,rpt02,28/05/2015
2,Neurology,Beaumont Hospital,RCSI Hospitals Group,A,2417,All Waiting,rpt02,28/05/2015
2,Neurosurgery,Beaumont Hospital,RCSI Hospitals Group,A,2395,All Waiting,rpt02,28/05/2015
2,Oncology,Beaumont Hospital,RCSI Hospitals Group,A,20,All Waiting,rpt02,28/05/2015
2,Ophthalmology,Beaumont Hospital,RCSI Hospitals Group,A,908,All Waiting,rpt02,28/05/2015
2,Orthopaedics,Beaumont Hospital,RCSI Hospitals Group,A,1553,All Waiting,rpt02,28/05/2015
2,Otolaryngology (ENT),Beaumont Hospital,RCSI Hospitals Group,A,2662,All Waiting,rpt02,28/05/2015
2,Pain Relief,Beaumont Hospital,RCSI Hospitals Group,A,1005,All Waiting,rpt02,28/05/2015
2,Plastic Surgery,Beaumont Hospital,RCSI Hospitals Group,A,1120,All Waiting,rpt02,28/05/2015
2,Psychiatry,Beaumont Hospital,RCSI Hospitals Group,A,54,All Waiting,rpt02,28/05/2015
2,Respiratory Medicine,Beaumont Hospital,RCSI Hospitals Group,A,1097,All Waiting,rpt02,28/05/2015
2,Rheumatology,Beaumont Hospital,RCSI Hospitals Group,A,675,All Waiting,rpt02,28/05/2015
2,Urology,Beaumont Hospital,RCSI Hospitals Group,A,1466,All Waiting,rpt02,28/05/2015
2,Vascular Surgery,Beaumont Hospital,RCSI Hospitals Group,A,551,All Waiting,rpt02,28/05/2015
3,Orthopaedics,Cappagh National Orthopaedic Hospital,Ireland East Hospital Group,A,1371,All Waiting,rpt02,28/05/2015
3,Rheumatology,Cappagh National Orthopaedic Hospital,Ireland East Hospital Group,A,51,All Waiting,rpt02,28/05/2015
4,Dermatology,Cavan General Hospital,RCSI Hospitals Group,A,792,All Waiting,rpt02,28/05/2015
4,General Medicine,Cavan General Hospital,RCSI Hospitals Group,A,1058,All Waiting,rpt02,28/05/2015
4,General Surgery,Cavan General Hospital,RCSI Hospitals Group,A,818,All Waiting,rpt02,28/05/2015
4,Gynaecology,Cavan General Hospital,RCSI Hospitals Group,A,905,All Waiting,rpt02,28/05/2015
4,Haematology,Cavan General Hospital,RCSI Hospitals Group,A,8,All Waiting,rpt02,28/05/2015
4,Neurology,Cavan General Hospital,RCSI Hospitals Group,A,419,All Waiting,rpt02,28/05/2015
4,Orthopaedics,Cavan General Hospital,RCSI Hospitals Group,A,1748,All Waiting,rpt02,28/05/2015
4,Other,Cavan General Hospital,RCSI Hospitals Group,A,14,All Waiting,rpt02,28/05/2015
4,Otolaryngology (ENT),Cavan General Hospital,RCSI Hospitals Group,A,1572,All Waiting,rpt02,28/05/2015
4,Paediatrics,Cavan General Hospital,RCSI Hospitals Group,A,296,All Waiting,rpt02,28/05/2015
5,Cardiology,Childrens University Hospital Temple Street,Children's Hospital Group,A,869,All Waiting,rpt02,28/05/2015
5,Child/Adolescent Psychiatry,Childrens University Hospital Temple Street,Children's Hospital Group,A,63,All Waiting,rpt02,28/05/2015
5,Clinical (Medical) Genetics,Childrens University Hospital Temple Street,Children's Hospital Group,A,29,All Waiting,rpt02,28/05/2015
5,Dental Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,49,All Waiting,rpt02,28/05/2015
5,Dermatology,Childrens University Hospital Temple Street,Children's Hospital Group,A,1351,All Waiting,rpt02,28/05/2015
5,Diabetes Mellitus,Childrens University Hospital Temple Street,Children's Hospital Group,A,9,All Waiting,rpt02,28/05/2015
5,Endocrinology,Childrens University Hospital Temple Street,Children's Hospital Group,A,123,All Waiting,rpt02,28/05/2015
5,General Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,1058,All Waiting,rpt02,28/05/2015
5,Gynaecology,Childrens University Hospital Temple Street,Children's Hospital Group,A,48,All Waiting,rpt02,28/05/2015
5,Haematology,Childrens University Hospital Temple Street,Children's Hospital Group,A,35,All Waiting,rpt02,28/05/2015
5,Infectious Diseases,Childrens University Hospital Temple Street,Children's Hospital Group,A,32,All Waiting,rpt02,28/05/2015
5,Metabolic Medicine,Childrens University Hospital Temple Street,Children's Hospital Group,A,85,All Waiting,rpt02,28/05/2015
5,Neonatology,Childrens University Hospital Temple Street,Children's Hospital Group,A,15,All Waiting,rpt02,28/05/2015
5,Nephrology,Childrens University Hospital Temple Street,Children's Hospital Group,A,146,All Waiting,rpt02,28/05/2015
5,Neurology,Childrens University Hospital Temple Street,Children's Hospital Group,A,423,All Waiting,rpt02,28/05/2015
5,Neurosurgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,40,All Waiting,rpt02,28/05/2015
5,Ophthalmology,Childrens University Hospital Temple Street,Children's Hospital Group,A,1748,All Waiting,rpt02,28/05/2015
5,Orthopaedics,Childrens University Hospital Temple Street,Children's Hospital Group,A,797,All Waiting,rpt02,28/05/2015
5,Otolaryngology (ENT),Childrens University Hospital Temple Street,Children's Hospital Group,A,2716,All Waiting,rpt02,28/05/2015
5,Paediatrics,Childrens University Hospital Temple Street,Children's Hospital Group,A,1687,All Waiting,rpt02,28/05/2015
5,Plastic Surgery,Childrens University Hospital Temple Street,Children's Hospital Group,A,376,All Waiting,rpt02,28/05/2015
5,Respiratory Medicine,Childrens University Hospital Temple Street,Children's Hospital Group,A,370,All Waiting,rpt02,28/05/2015
5,Urology,Childrens University Hospital Temple Street,Children's Hospital Group,A,633,All Waiting,rpt02,28/05/2015
5,Small Volume Specialities,Childrens University Hospital Temple Street,Children's Hospital Group,A,1,All Waiting,rpt02,28/05/2015
6,Anaesthetics,Connolly Hospital,RCSI Hospitals Group,A,20,All Waiting,rpt02,28/05/2015
6,Cardiology,Connolly Hospital,RCSI Hospitals Group,A,444,All Waiting,rpt02,28/05/2015
6,Dermatology,Connolly Hospital,RCSI Hospitals Group,A,842,All Waiting,rpt02,28/05/2015
6,Endocrinology,Connolly Hospital,RCSI Hospitals Group,A,408,All Waiting,rpt02,28/05/2015
6,Gastro-Enterology,Connolly Hospital,RCSI Hospitals Group,A,1040,All Waiting,rpt02,28/05/2015
6,General Surgery,Connolly Hospital,RCSI Hospitals Group,A,1794,All Waiting,rpt02,28/05/2015
6,Geriatric Medicine,Connolly Hospital,RCSI Hospitals Group,A,32,All Waiting,rpt02,28/05/2015
6,Gynaecology,Connolly Hospital,RCSI Hospitals Group,A,410,All Waiting,rpt02,28/05/2015
6,Haematology,Connolly Hospital,RCSI Hospitals Group,A,89,All Waiting,rpt02,28/05/2015
6,Nephrology,Connolly Hospital,RCSI Hospitals Group,A,36,All Waiting,rpt02,28/05/2015
6,Neurology,Connolly Hospital,RCSI Hospitals Group,A,366,All Waiting,rpt02,28/05/2015
6,Ophthalmology,Connolly Hospital,RCSI Hospitals Group,A,201,All Waiting,rpt02,28/05/2015
6,Orthopaedics,Connolly Hospital,RCSI Hospitals Group,A,1066,All Waiting,rpt02,28/05/2015
6,Other,Connolly Hospital,RCSI Hospitals Group,A,280,All Waiting,rpt02,28/05/2015
6,Otolaryngology (ENT),Connolly Hospital,RCSI Hospitals Group,A,674,All Waiting,rpt02,28/05/2015
6,Plastic Surgery,Connolly Hospital,RCSI Hospitals Group,A,305,All Waiting,rpt02,28/05/2015
6,Respiratory Medicine,Connolly Hospital,RCSI Hospitals Group,A,758,All Waiting,rpt02,28/05/2015
6,Rheumatology,Connolly Hospital,RCSI Hospitals Group,A,701,All Waiting,rpt02,28/05/2015
6,Urology,Connolly Hospital,RCSI Hospitals Group,A,688,All Waiting,rpt02,28/05/2015
6,Small Volume Specialities,Connolly Hospital,RCSI Hospitals Group,A,1,All Waiting,rpt02,28/05/2015
7,Breast Surgery,Cork University Hospital,South/South West Hospital Group,A,1009,All Waiting,rpt02,28/05/2015
7,Cardiology,Cork University Hospital,South/South West Hospital Group,A,1232,All Waiting,rpt02,28/05/2015
7,Cardio-Thoracic Surgery,Cork University Hospital,South/South West Hospital Group,A,24,All Waiting,rpt02,28/05/2015
7,Dermatology,Cork University Hospital,South/South West Hospital Group,A,90,All Waiting,rpt02,28/05/2015
7,Diabetes Mellitus,Cork University Hospital,South/South West Hospital Group,A,689,All Waiting,rpt02,28/05/2015
7,Endocrinology,Cork University Hospital,South/South West Hospital Group,A,492,All Waiting,rpt02,28/05/2015
7,Gastro-Enterology,Cork University Hospital,South/South West Hospital Group,A,1099,All Waiting,rpt02,28/05/2015
7,General Medicine,Cork University Hospital,South/South West Hospital Group,A,62,All Waiting,rpt02,28/05/2015
7,General Surgery,Cork University Hospital,South/South West Hospital Group,A,1367,All Waiting,rpt02,28/05/2015
7,Geriatric Medicine,Cork University Hospital,South/South West Hospital Group,A,71,All Waiting,rpt02,28/05/2015
7,Gynaecology,Cork University Hospital,South/South West Hospital Group,A,4495,All Waiting,rpt02,28/05/2015
7,Infectious Diseases,Cork University Hospital,South/South West Hospital Group,A,45,All Waiting,rpt02,28/05/2015
7,Nephrology,Cork University Hospital,South/South West Hospital Group,A,103,All Waiting,rpt02,28/05/2015
7,Neurology,Cork University Hospital,South/South West Hospital Group,A,707,All Waiting,rpt02,28/05/2015
7,Neurosurgery,Cork University Hospital,South/South West Hospital Group,A,2062,All Waiting,rpt02,28/05/2015
7,Oncology,Cork University Hospital,South/South West Hospital Group,A,6,All Waiting,rpt02,28/05/2015
7,Ophthalmology,Cork University Hospital,South/South West Hospital Group,A,5917,All Waiting,rpt02,28/05/2015
7,Orthopaedics,Cork University Hospital,South/South West Hospital Group,A,33,All Waiting,rpt02,28/05/2015
7,Otolaryngology (ENT),Cork University Hospital,South/South West Hospital Group,A,51,All Waiting,rpt02,28/05/2015
7,Paed Cardiology,Cork University Hospital,South/South West Hospital Group,A,22,All Waiting,rpt02,28/05/2015
7,Paed Endocrinology,Cork University Hospital,South/South West Hospital Group,A,62,All Waiting,rpt02,28/05/2015
7,Paediatric Neurology,Cork University Hospital,South/South West Hospital Group,A,255,All Waiting,rpt02,28/05/2015
7,Paediatric Respiratory,Cork University Hospital,South/South West Hospital Group,A,69,All Waiting,rpt02,28/05/2015
7,Paediatrics,Cork University Hospital,South/South West Hospital Group,A,1057,All Waiting,rpt02,28/05/2015
7,Plastic Surgery,Cork University Hospital,South/South West Hospital Group,A,1411,All Waiting,rpt02,28/05/2015
7,Rehabilitation Medicine,Cork University Hospital,South/South West Hospital Group,A,6,All Waiting,rpt02,28/05/2015
7,Respiratory Medicine,Cork University Hospital,South/South West Hospital Group,A,433,All Waiting,rpt02,28/05/2015
7,Rheumatology,Cork University Hospital,South/South West Hospital Group,A,995,All Waiting,rpt02,28/05/2015
7,Urology,Cork University Hospital,South/South West Hospital Group,A,1377,All Waiting,rpt02,28/05/2015
7,Vascular Surgery,Cork University Hospital,South/South West Hospital Group,A,657,All Waiting,rpt02,28/05/2015
7,Small Volume Specialities,Cork University Hospital,South/South West Hospital Group,A,6,All Waiting,rpt02,28/05/2015
23,Orthopaedics,Croom Orthopaedic Hospital,University of Limerick Hospital Group,A,3814,All Waiting,rpt02,28/05/2015
23,Rheumatology,Croom Orthopaedic Hospital,University of Limerick Hospital Group,A,226,All Waiting,rpt02,28/05/2015
23,Small Volume Specialities,Croom Orthopaedic Hospital,University of Limerick Hospital Group,A,2,All Waiting,rpt02,28/05/2015
21,Gastro-Enterology,Ennis Hospital,University of Limerick Hospital Group,A,58,All Waiting,rpt02,28/05/2015
21,General Medicine,Ennis Hospital,University of Limerick Hospital Group,A,305,All Waiting,rpt02,28/05/2015
21,General Surgery,Ennis Hospital,University of Limerick Hospital Group,A,567,All Waiting,rpt02,28/05/2015
21,Gynaecology,Ennis Hospital,University of Limerick Hospital Group,A,251,All Waiting,rpt02,28/05/2015
21,Otolaryngology (ENT),Ennis Hospital,University of Limerick Hospital Group,A,510,All Waiting,rpt02,28/05/2015
21,Paediatrics,Ennis Hospital,University of Limerick Hospital Group,A,207,All Waiting,rpt02,28/05/2015
21,Plastic Surgery,Ennis Hospital,University of Limerick Hospital Group,A,133,All Waiting,rpt02,28/05/2015
21,Rheumatology,Ennis Hospital,University of Limerick Hospital Group,A,173,All Waiting,rpt02,28/05/2015
8,Anaesthetics,Galway University Hospital,Saolta University Health Care Group,A,901,All Waiting,rpt02,28/05/2015
8,Cardiology,Galway University Hospital,Saolta University Health Care Group,A,1250,All Waiting,rpt02,28/05/2015
8,Cardio-Thoracic Surgery,Galway University Hospital,Saolta University Health Care Group,A,10,All Waiting,rpt02,28/05/2015
8,Clinical Immunology,Galway University Hospital,Saolta University Health Care Group,A,406,All Waiting,rpt02,28/05/2015
8,Clinical Pharmacology,Galway University Hospital,Saolta University Health Care Group,A,22,All Waiting,rpt02,28/05/2015
8,Dermatology,Galway University Hospital,Saolta University Health Care Group,A,1970,All Waiting,rpt02,28/05/2015
